,titles,subtitles,links
0,LUK WHO'S BACK,Lukaku holds up Inter scarf as he lands in Italy to seal £6.9m loan transfer,https://www.thesun.co.uk/sport/football/19034241/chelsea-romelu-lukaku-inter-milan-scarf/
1,BUY OR BYE,Ronaldo wants Utd to show 'ambition' in market as agent 'holds exit talks',https://www.thesun.co.uk/sport/football/19033452/cristiano-ronaldo-man-utd-transfer-exit-jorge-mendes/
2,THAT'S RICH,Spurs make £100m double bid for Everton stars Richarlison & Anthony Gordon,https://www.thesun.co.uk/sport/football/19023193/spurs-levy-kenwright-everton-richarlison-gordon/
3,NO MAR,PSG tell Neymar he is NOT wanted and can go amid Man Utd and Chelsea interest,https://www.thesun.co.uk/sport/19033774/paris-saint-germain-neymar-manchester-united-chelsea/
4,CASH PRIZE,"Win £30,000 in cash from just 89p with exclusive Sun discount",https://www.thesun.co.uk/sport/betting-tips/18922011/win-cash-prize-30000-exclusive-discount/
5,MIK'S EMOTIONS,Arteta reveals how he lifted Arsenal from bottom of Prem in trailer for show,https://www.thesun.co.uk/sport/football/19028019/mikel-arteta-arsenal-documentary-all-or-nothing/
6,SHOCK & OR,Liverpool hero Origi touches down for AC Milan medical ahead of free transfer,https://www.thesun.co.uk/sport/football/19028914/divock-origi-ac-milan-liverpool-transfer-medical/
7,CHRIS & TELL,Ten Hag hopes De Jong deal this week will convince Eriksen to sign for free,https://www.thesun.co.uk/sport/football/19032905/man-utd-ten-hag-de-jong-christian-eriksen/
8,HOME TREBLE,"Get Raducanu, Murray & Watson all to win in Wimbledon 2nd round boosted to 5/1",https://www.thesun.co.uk/sport/betting-tips/19034115/paddy-power-wimbledon-offer-raducanu-murray-watson-price-boost/
9,DON'T LUC BACK IN ANGER,Kop icon Leiva rejoins boyhood club Gremio & makes vow to fans,https://www.thesun.co.uk/sport/football/19034308/lucas-leiva-liverpool-gremio-lazio-transfer/
10,FRUIT SHOOT,Shearer's daughter Hollie shops for watermelons as sunkissed singer enjoys hols,https://www.thesun.co.uk/sport/19028688/shearer-daughter-hollie-melons-holiday/
11,BOTMAN BEGINS,Newcastle agree £39m deal for Lille star Botman as defender completes medical,https://www.thesun.co.uk/sport/19030603/newcastle-complete-botman-deal-lille-39m/
